RUN	simulations.BasicLoadSimulation	basicloadsimulation	1586263513914	 	3.3.1
USER	Basic Load Simulation	2	START	1586263521057	1586263521057
USER	Basic Load Simulation	1	START	1586263521058	1586263521058
USER	Basic Load Simulation	5	START	1586263521058	1586263521058
USER	Basic Load Simulation	6	START	1586263521059	1586263521059
USER	Basic Load Simulation	3	START	1586263521057	1586263521057
USER	Basic Load Simulation	4	START	1586263521058	1586263521058
REQUEST	4		Get all video games	1586263521391	1586263521734	OK	 
REQUEST	6		Get all video games	1586263521389	1586263521732	OK	 
REQUEST	5		Get all video games	1586263521168	1586263521732	OK	 
REQUEST	3		Get all video games	1586263521390	1586263521732	OK	 
REQUEST	1		Get all video games	1586263521168	1586263521732	OK	 
REQUEST	2		Get all video games	1586263521165	1586263521732	OK	 
USER	Basic Load Simulation	7	START	1586263521815	1586263521815
REQUEST	7		Get all video games	1586263521817	1586263521842	OK	 
USER	Basic Load Simulation	8	START	1586263522820	1586263522820
REQUEST	8		Get all video games	1586263522821	1586263522843	OK	 
USER	Basic Load Simulation	9	START	1586263523819	1586263523819
REQUEST	9		Get all video games	1586263523820	1586263523839	OK	 
USER	Basic Load Simulation	10	START	1586263524822	1586263524822
REQUEST	10		Get all video games	1586263524823	1586263524841	OK	 
USER	Basic Load Simulation	11	START	1586263525820	1586263525820
REQUEST	11		Get all video games	1586263525821	1586263525842	OK	 
REQUEST	6		Get specific game	1586263526761	1586263526775	OK	 
REQUEST	1		Get specific game	1586263526761	1586263526776	OK	 
REQUEST	4		Get specific game	1586263526761	1586263526775	OK	 
REQUEST	5		Get specific game	1586263526761	1586263526777	OK	 
REQUEST	2		Get specific game	1586263526761	1586263526779	OK	 
REQUEST	3		Get specific game	1586263526761	1586263526779	OK	 
USER	Basic Load Simulation	12	START	1586263526822	1586263526822
REQUEST	12		Get all video games	1586263526823	1586263526839	OK	 
REQUEST	7		Get specific game	1586263526866	1586263526871	OK	 
USER	Basic Load Simulation	13	START	1586263527809	1586263527809
REQUEST	13		Get all video games	1586263527811	1586263527829	OK	 
REQUEST	8		Get specific game	1586263527860	1586263527866	OK	 
USER	Basic Load Simulation	14	START	1586263528811	1586263528811
REQUEST	14		Get all video games	1586263528811	1586263528830	OK	 
REQUEST	9		Get specific game	1586263528853	1586263528858	OK	 
USER	Basic Load Simulation	15	START	1586263529823	1586263529823
REQUEST	15		Get all video games	1586263529824	1586263529840	OK	 
REQUEST	10		Get specific game	1586263529865	1586263529871	OK	 
REQUEST	11		Get specific game	1586263530851	1586263530857	OK	 
REQUEST	4		Get all video games	1586263531773	1586263531793	OK	 
REQUEST	3		Get all video games	1586263531773	1586263531793	OK	 
REQUEST	6		Get all video games	1586263531773	1586263531793	OK	 
REQUEST	5		Get all video games	1586263531773	1586263531794	OK	 
REQUEST	2		Get all video games	1586263531773	1586263531796	OK	 
REQUEST	1		Get all video games	1586263531773	1586263531794	OK	 
USER	Basic Load Simulation	2	END	1586263521057	1586263531806
USER	Basic Load Simulation	6	END	1586263521059	1586263531806
USER	Basic Load Simulation	3	END	1586263521057	1586263531806
USER	Basic Load Simulation	1	END	1586263521058	1586263531809
USER	Basic Load Simulation	4	END	1586263521058	1586263531809
USER	Basic Load Simulation	5	END	1586263521058	1586263531811
REQUEST	12		Get specific game	1586263531853	1586263531858	OK	 
REQUEST	7		Get all video games	1586263531873	1586263531881	OK	 
USER	Basic Load Simulation	7	END	1586263521815	1586263531882
REQUEST	13		Get specific game	1586263532841	1586263532847	OK	 
REQUEST	8		Get all video games	1586263532874	1586263532880	OK	 
USER	Basic Load Simulation	8	END	1586263522820	1586263532881
REQUEST	14		Get specific game	1586263533841	1586263533849	OK	 
REQUEST	9		Get all video games	1586263533862	1586263533872	OK	 
USER	Basic Load Simulation	9	END	1586263523819	1586263533873
REQUEST	15		Get specific game	1586263534851	1586263534858	OK	 
REQUEST	10		Get all video games	1586263534860	1586263534866	OK	 
USER	Basic Load Simulation	10	END	1586263524822	1586263534867
REQUEST	11		Get all video games	1586263535875	1586263535880	OK	 
USER	Basic Load Simulation	11	END	1586263525820	1586263535881
REQUEST	12		Get all video games	1586263536864	1586263536871	OK	 
USER	Basic Load Simulation	12	END	1586263526822	1586263536872
REQUEST	13		Get all video games	1586263537851	1586263537859	OK	 
USER	Basic Load Simulation	13	END	1586263527809	1586263537860
REQUEST	14		Get all video games	1586263538852	1586263538858	OK	 
USER	Basic Load Simulation	14	END	1586263528811	1586263538859
REQUEST	15		Get all video games	1586263539864	1586263539871	OK	 
USER	Basic Load Simulation	15	END	1586263529823	1586263539872
